UNAIDS_year,iso3,subnational,group,site,point,latitude,longitude,geopositioning_method,admin_level,shapefile,location_code,flag,UNAIDS_lat,UNAIDS_lon,Distance,,Checked,
2017,CAF,,Urban,Berbérati,1,4.258532,15.78944,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Bimbo,1,4.333215,18.517123,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Boda,1,4.320222,17.465171,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Rural,Bossémbélé,1,5.266908,17.64292,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Bossangoa,1,6.489544,17.4516742,http://www.spatialepidemiology.net/user_maps/,,,,,,,,,,
2017,CAF,,Urban,Bouar,1,6.00934139,15.5603101,http://www.spatialepidemiology.net/user_maps/,,,,,,,,,,
2017,CAF,,Urban,Bouca,1,6.508968,18.276389,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Boy-Rabe,1,4.4039167,18.5718648,google maps - Boy-Rabe monastary (Boy-Rabe is a 4km corridor),,,,,,,,,,
2017,CAF,,Urban,Bozoum,1,6.317042,16.376376,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Bria,1,6.537148,21.988686,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Castors,1,4.373124,18.55004,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Rural,Cseb (Gamboula),1,4.121389,15.136822,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Cssu,,,,Cannot find,,,,1,,,,,,
2017,CAF,,Urban,Dékoa,1,6.320933,19.078242,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Rural,Elim-Kongbo,1,4.771675,21.366767,Google maps -no hospital found. Using Kongbo town gps,,,,,,,,,,
2017,CAF,,Urban,Gamboula,1,4.120962,15.136097,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Gobongo,1,4.415766,18.549442,Google maps - no hopsital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Hopital communautaire,1,4.3876783,18.5563346,http://www.spatialepidemiology.net/user_maps/,,,,,,,,,,
2017,CAF,,Urban,Kémbé,1,4.616482,21.884923,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Kabo,1,7.69452,18.625001,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Lakouanga,1,4.362256,18.567821,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,M'Baiki,1,3.8703203,17.9714439,google maps - used town gps,,,,,,,,,,
2017,CAF,,Rural,M'Boki,1,5.3172868,25.9496642,google maps - used town gps,,,,,,,,,,
2017,CAF,,Rural,Mala,1,6.115798,19.505052,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Malimaka,1,4.393702,18.542137,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Mamadou-Mbaïki,1,4.377563,18.537148,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Rural,Mambélé,1,3.93218632,16.63995815,"Mamb�l� - https://myrouteplanner.net/rr-26-ouodo-central-african-republic#latlng=(3.932186319885078,16.63995814788518)",,,,,,,,,,
2017,CAF,,Urban,Mobaye,1,4.321263,21.183321,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Rural,N'Gaoundaye,1,7.4780556,15.5702589,Wikipedia city name N'Gaoundaye,,,,,,,,,,
2017,CAF,,Urban,Ndélé,1,8.4035011,20.6242822,http://www.spatialepidemiology.net/user_maps/,,,,,,,,,,
2017,CAF,,Rural,Niem,1,6.19309,15.228905,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Ouango-Bangui,1,4.36285,18.62313,"google maps- used town gps ""Ouango""",,,,,,,,,,
2017,CAF,,Urban,Pétévo,1,4.340912,18.543398,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Rural,Séko,1,5.8911964,21.0935256,google maps - used town GPS S�ko,,,,,,,,,,
2017,CAF,,Urban,Sibut,1,5.73047,19.086049,Google maps - no hospital found. Using town gps,,,,,,,,,,
2017,CAF,,Urban,Zémio,1,5.029729,25.132685,Google maps - no hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Amdafok,1,10.465599,23.293334,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Baboua,1,5.806133,14.832867,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Bayanga,1,2.912561,16.262976,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Birao,1,10.292072,22.784248,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Bossongo,1,4.232734,18.283579,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Carnot,1,4.940855,15.878017,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Kaga-Bandoro,1,6.995906,19.184622,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Ippy,1,6.266113,21.00749,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Kouango,1,4.994074,19.977391,Google maps - No hospital found. Using town gps,,,,,,,,,,
1111,CAF,,,Mbres,1,6.670508,19.79648,Google maps - No hospital found. Using town gps,,,,,,,,,,
