"GAUL_CODE","year","hiv_test","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2","shapefile","OBJECTID","ID_3","NAME_3","CCN_3","CCA_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3","Shape_Leng","Shape_Area","NAME","COUNTRY_ID","ADMN_LEVEL","PARENT_ID","Area"
"11",2002,0.174035898231302,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2017,0.204640608200582,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2004,0.178296868778006,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2005,0.18001847204299,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2006,0.181827335351659,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2007,0.181610987022938,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2003,0.187787334996673,"211","ZAF","South Africa","2","Free State","11","Mangaung","ZA.FS.MT","0","MAN","District Municipality","District Municipality",NA,"Matheo","ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2005,0.227240308479629,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2006,0.23399120648553,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2007,0.233448465320839,"211","ZAF","South Africa","2","Free State","12","Thabo Mofutsanyane","ZA.FS.TM","0","DC19","District Municipality","District Municipality",NA,NA,"ZAF_adm2_GADM_2008",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
