"clinic","year_id","used","mean","n","type","agegr","age","agspan","ihme_loc_id","lbd_areal","lbd_missing","iso3","site_pred","adm0_mean","adm0_lower","adm0_upper","adm1_mean","adm1_lower","adm1_upper","iso3_adm1","loc_id_adm1"
"KOLDA",2011,TRUE,0.012,525,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2011,TRUE,0.006,535,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATAM",2011,TRUE,0.005,554,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",2011,TRUE,0.013,610,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2011,TRUE,0.003,279,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMBA",2011,TRUE,0,645,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2011,TRUE,0.006,682,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2011,TRUE,0.013,740,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAKAR",2014,TRUE,0.009,699,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DIOURBEL",2014,TRUE,0.005,652,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FATICK",2014,TRUE,0.004,704,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KAOLACK",2014,TRUE,0.007,823,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KOLDA",2014,TRUE,0.01,587,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LOUGA",2014,TRUE,0,419,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATAM",2014,TRUE,0.005,810,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MBOUR",2014,TRUE,0.003,642,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAINT LOUIS",2014,TRUE,0.008,531,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TAMBA",2014,TRUE,0.009,659,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"THIES",2014,TRUE,0.009,790,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ZIGUINCHOR",2014,TRUE,0.012,710,"ancss","15-49","15","35","SEN",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
